folder_name,dataset,model,optimizer,seed,learning_rate_grid,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,final_train_loss,final_val_loss,final_val_metric
adults_XGBoost_QNG_2025_1750185376,adults,XGBoost,QNG,2025,"0.1, 0.01, 0.001",0.8507523799774798,0.7525044945783562,0.8482350576742713,0.7172163545335651,0.8338004296454133,0.8500115191527584,0.8507523799774798,-0.8526137308848935,-0.853998720409469,0.853998720409469
adults_XGBoost_QNG_42_1750163457,adults,XGBoost,QNG,42,"0.1, 0.01, 0.001",0.8764459002968574,0.8183702452225501,0.8461835500879953,0.7987434497174404,0.8719146534943544,0.8720653552288408,0.8764459002968574,-0.8852133853733444,-0.8766474728087013,0.8766474728087013
adults_XGBoost_QNG_42_1750163461,adults,XGBoost,QNG,42,"0.1, 0.01, 0.001",0.8527996724332071,0.7569376426417613,0.8504375008195969,0.7214935144993478,0.8365179715297537,0.8521137638860754,0.8527996724332071,-0.8521338537334442,-0.8531030070377479,0.8531030070377479
adults_XGBoost_QNG_42_1750185304,adults,XGBoost,QNG,42,"0.1, 0.01, 0.001",0.8764459002968574,0.8183702452225501,0.8461835500879953,0.7987434497174404,0.8719146534943544,0.8720653552288408,0.8764459002968574,-0.8852133853733444,-0.8766474728087013,0.8766474728087013
adults_XGBoost_QNG_42_1750185307,adults,XGBoost,QNG,42,"0.1, 0.01, 0.001",0.8527996724332071,0.7569376426417613,0.8504375008195969,0.7214935144993478,0.8365179715297537,0.8521137638860754,0.8527996724332071,-0.8521338537334442,-0.8531030070377479,0.8531030070377479
adults_XGBoost_SGD_1337_1750163464,adults,XGBoost,SGD,1337,"0.1, 0.01, 0.001",0.8736820554816256,0.8130621728689674,0.8438343803280803,0.7920898499442662,0.8685604763286596,0.8690314977749569,0.8736820554816256,-0.8831019259069678,-0.8802303262955854,0.8802303262955854
adults_XGBoost_SGD_1337_1750163468,adults,XGBoost,SGD,1337,"0.1, 0.01, 0.001",0.8534138601699253,0.7610807426802881,0.8450975640462408,0.726880686979464,0.8385140651526612,0.8511027953177458,0.8534138601699253,-0.8566766907671636,-0.855790147152911,0.855790147152911
adults_XGBoost_SGD_1337_1750163471,adults,XGBoost,SGD,1337,"0.1, 0.01, 0.001",0.7606715119254785,0.4320348837209302,0.3803357559627393,0.5,0.6572732564090966,0.5786211490549934,0.7606715119254785,-0.7607332522874144,-0.7607165706973769,0.7607165706973769
adults_XGBoost_SGD_1337_1750185311,adults,XGBoost,SGD,1337,"0.1, 0.01, 0.001",0.8736820554816256,0.8130621728689674,0.8438343803280803,0.7920898499442662,0.8685604763286596,0.8690314977749569,0.8736820554816256,-0.8831019259069678,-0.8802303262955854,0.8802303262955854
adults_XGBoost_SGD_1337_1750185314,adults,XGBoost,SGD,1337,"0.1, 0.01, 0.001",0.8534138601699253,0.7610807426802881,0.8450975640462408,0.726880686979464,0.8385140651526612,0.8511027953177458,0.8534138601699253,-0.8566766907671636,-0.855790147152911,0.855790147152911
adults_XGBoost_SGD_1337_1750185317,adults,XGBoost,SGD,1337,"0.1, 0.01, 0.001",0.7606715119254785,0.4320348837209302,0.3803357559627393,0.5,0.6572732564090966,0.5786211490549934,0.7606715119254785,-0.7607332522874144,-0.7607165706973769,0.7607165706973769
